선택군_코드,선택군_학년학기,선택군_원문,선택군_선택수,선택군_과목당학점,선택군_총학점,대상과목수,대상과목목록
2-1-2학년학생  선택,2-1,15(택5),5,3,15,33,주제 탐구 독서; 독서 토론과 글쓰기; 확률과 통계*; 기하*; 미디어 영어; 세계 문화와 영어; 세계시민과 지리; 세계사; 현대사회와 윤리; 정치; 경제; 인문학과 윤리; 역사로 탐구하는 현대 세계; 사회문제 탐구; 기후변화와 지속가능한 세계; 물리학*; 화학*; 생명과학*; 지구과학*; 전자기와 양자*; 화학 반응의 세계*; 행성우주과학*; 기후변화와 환경생태*; 기초 체육 전공 실기; 미술과 매체; 기술·가정*; 인공지능 기초*; 인체 구조와 기능*; 중국어; 일본어; 한문; 심화 중국어; 심화 일본어
3-1-3학년학생  선택,3-1,27(택9),9,3,27,40,독서와 작문; 문학과 영상; 매체 의사소통; 언어생활 탐구; 미적분Ⅱ*; 경제 수학; 전문 수학*; 실용 통계*; 영어 독해와 작문; 영미 문학 읽기; 심화 영어; 심화 영어 독해와 작문; 사회와 문화; 한국지리 탐구; 여행지리; 동아시아 역사 기행; 법과 사회; 윤리와 사상; 금융과 경제생활; 윤리문제 탐구; 역학과 에너지*; 물질과 에너지*; 세포와 물질대사*; 생물의 유전*; 지구시스템과학*; 과학의 역사와 문화*; 융합과학 탐구*; 심화 체육 전공 실기; 음악 연주와 창작; 미술 창작; 미술 감상과 비평; 음악과 미디어; 데이터 과학; 지식 재산 일반; 중국어 회화; 일본어 회화; 한문 고전 읽기; 중국 문화; 일본 문화; 보건*
