선택군_코드,선택군_학년학기,선택군_원문,선택군_선택수,선택군_과목당학점,선택군_총학점,대상과목수,대상과목목록
2-1-2학년선택,2-1,3(택1),1,3,3,11,화법과 언어; 확률과 통계; 영어Ⅱ; 세계시민과 지리; 세계사; 현대사회와 윤리; 정치; 기술·가정; 중국어; 일본어; 한문
3-1-3학년선택,3-1,12(택4),4,3,12,18,독서와 작문; 실용 통계; 영어 독해와 작문; 사회와 문화; 여행지리; 동아시아 역사 기행; 윤리문제 탐구; 물리학; 화학; 생명과학; 지구과학; 기후변화와 환경생태; 지식 재산 일반; 중국어 회화; 일본어 회화; 중국 문화; 일본 문화; 보건
